date,itemName,status,itemType
2024-04-22,WebApps,Success,CLIPPER
2024-04-22,Scheduler Resources,Failed,CLIPPER
2024-04-22,Libs,Failed,CLIPPER
2024-04-22,CLIPPER,Failed,Summary
2024-04-22,WebApps,Success,TB
2024-04-22,Scheduler Resources,Success,TB
2024-04-22,Libs,Success,TB
2024-04-22,TB,Success,Summary
2024-04-22,WebApps,Success,YAS
2024-04-22,CON Webapps,Success,YAS
2024-04-22,XNET Webapps,Success,YAS
2024-04-22,B2C Webapps,Success,YAS
2024-04-22,B2B Webapps,Success,YAS
2024-04-22,Scheduler Resources,Success,YAS
2024-04-22,Libs,Failed,YAS
2024-04-22,Libs2,Failed,YAS
2024-04-22,YAS,Failed,Summary
